path	artist_name	artist_location
J/R/C/TRJRCBB128F4226A63	Room 5 Feat. Oliver Cheatham	
O/N/Y/TRONYHX12903CB6C41	tobyMac	Nashville
U/T/F/TRUTFTU128F931AF65	Jimmy Ruffin	Colinsville, MS
U/R/X/TRURXCP128F9305B06	Mercury Rev	Buffalo, NY
G/Q/P/TRGQPPX128F932E095	Belbury Poly	
S/O/R/TRSORFY128F429AACA	The Raveonettes	Copenhagen, Denmark
J/X/C/TRJXCDJ128F4297235	Kill Hannah	Chicago, IL
B/U/D/TRBUDNC128F933688F	Jason Lytle	
Y/R/H/TRYRHIK128F426BFCE	Billy Currington	Rincon, GA
G/B/T/TRGBTRN128F92E26B3	ZZ Top	Houston, TX
N/A/L/TRNALDW128F148B3B5	Tesla	
E/G/H/TREGHNL128F9311476	John Fogerty	Berkeley, CA
L/Z/K/TRLZKZS128F42AA42F	Index ID	
Q/W/Q/TRQWQRB128F427E581	Ruff Stuff	Texas
K/Y/F/TRKYFLW128F9303A4B	David Usher	Oxford, England
C/B/V/TRCBVHH12903CAE376	Cássia Eller	
B/H/K/TRBHKVE12903CAAEB4	Vienna Concert House Orchestra_ Wiener Sängerknaben_ Ferdinand Grossmann	
P/W/V/TRPWVIF128F92D3B48	Aled Jones	
I/G/W/TRIGWOU128F4272518	Blue Orchids	
D/B/G/TRDBGLU128F92C92A4	Richard Clayderman	Paris, France
D/U/G/TRDUGLE128F426585A	Ginuwine	Washington, D.C.
A/F/I/TRAFISO128E07965C7	The Les Humphries Singers	
L/K/H/TRLKHWW128F146DB15	Jackson 5	Tennessee
P/E/I/TRPEINB12903CF3DEF	Alain Leprest_ François Lemonnier	
W/E/Y/TRWEYUL12903CD6ADA	Carolina Liar	
K/P/U/TRKPULS128F92FD81A	Alphabeat	Denmark
H/N/E/TRHNENS128E0799A33	Ashlee Simpson	Waco, TX
K/L/R/TRKLRYN128F1496A70	Volumen Cero	
P/G/R/TRPGRPJ128F4281E88	Train	San Francisco, CA
L/N/G/TRLNGLY128F1489B0B	Tiga	Montreal, Canada
U/Z/L/TRUZLTE128F92F4B88	Amy MacDonald	
O/O/M/TROOMDT128F42A921B	Swen Weber	
K/P/N/TRKPNVN128F4266DEF	Phantom Planet	
R/J/L/TRRJLQW128F4257946	Lady GaGa / Colby O'Donis	New York City
R/N/Y/TRRNYCG128F426103A	Nick Cave & Warren Ellis	
E/W/E/TREWEJH128F4276133	Daniel Kobialka	United States
S/O/E/TRSOETF12903CE3359	State Of The Heart	
A/X/J/TRAXJZN128F42482FD	Gary Smith	
P/X/M/TRPXMJM128F427ED25	Jennifer Lopez	The Bronx, New York
D/H/I/TRDHIIE12903CE14B5	Jean-Jacques Milteau	
C/G/J/TRCGJZY128F9337081	Tanya Donelly	Newport, RI
R/B/L/TRRBLSV128F4238C23	Mojinos Escozios	
T/T/O/TRTTOZQ128F932DBBC	The Japanese Popstars	Derry &amp; Dungannon, N.Ireland
P/P/Z/TRPPZLX128F4241632	Street Drum Corps Feat. Bert McCracken	Los Angeles, CA
B/M/G/TRBMGEP128F93311BC	Groove Junkies	
L/I/B/TRLIBAB128F1462853	Boyzone	Ireland
Y/Z/S/TRYZSBI128EF33ED6F	Shaun Baker	
G/U/Z/TRGUZXA12903CAC68C	Emerson_ Lake & Palmer	Inglaterra
D/D/U/TRDDULJ128F92CB748	Panpipes	
E/C/Z/TRECZMZ12903D088B6	Die Türen	
J/C/W/TRJCWTZ128E0797FCA	Linkin Park	Los Angeles, CA
H/C/E/TRHCEUS12903CC5CB4	Grave Plott	
O/K/Q/TROKQCN128F92C676B	Melendi	
L/V/Z/TRLVZFE128E0799A08	Cream / The Hoxtons	England
X/F/W/TRXFWEV128F4256A7D	Johnny Bond	Enville, OK
J/Q/B/TRJQBKR128E078A84B	Vinicio Capossela	Hannover, Germany
H/Q/V/TRHQVQZ12903CA528E	Carrie Underwood	Checotah, OK
S/M/Q/TRSMQWF128F145E8B4	Rick James	Buffalo, NY
H/D/A/TRHDAKX128F1462765	Frank Chacksfield And His Orchestra	
I/E/B/TRIEBYZ128F1463832	Dusty Springfield	Hampstead, London, England
